rail,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
1,clearance,rail,E53233044200,1,6,7,LINEAR,JOINT,1000,100,58.39,48.78,-19.32,-104.45,99.87,-11.59,2250.00,,,,,,,3,1
1,clearance,rail,E53233044200,1,6,6,JOINT,JOINT,75,50,59.29,47.44,-21.02,-88.51,106.25,-27.05,2250.00,,,,,,,3,1
1,clearance,rail,E53233044200,1,6,5,LINEAR,JOINT,1000,50,43.81,46.30,17.95,-102.48,94.41,31.01,2250.00,,,,,,,3,1
1,clearance,rail,E53233044200,1,6,4,JOINT,JOINT,75,100,31.68,29.92,13.35,-104.80,81.46,28.24,2250.00,,,,,,,3,1
1,clearance,rail,E53233044200,1,6,3,JOINT,JOINT,75,100,30.79,40.03,-5.71,-88.94,115.58,-13.89,2250.00,,,,,,,3,1
1,clearance,rail,E53233044200,1,6,2,JOINT,JOINT,75,100,15.93,22.77,-30.35,-1.52,115.53,105.22,2250.00,,,,,,,3,1
1,clearance,rail,E53233044200,1,6,1,JOINT,JOINT,75,100,0.00,18.51,-39.04,0.00,106.04,90.00,2250.00,,,,,,,3,1
2,station,rail,E53233046200,2,5,1,JOINT,JOINT,75,0,0.00,18.51,-39.04,0.00,106.04,90.00,1723.00,,,,,,,3,1
2,approach,rail,E53233046200,2,5,2,JOINT,JOINT,75,100,15.93,22.77,-30.35,-1.52,115.53,105.22,1723.00,,,,,,,3,1
2,approach,rail,E53233046200,2,5,3,JOINT,JOINT,75,100,30.79,40.03,-5.71,-88.94,115.58,-13.89,1723.00,,,,,,,3,1
2,approach,rail,E53233046200,2,5,4,JOINT,JOINT,75,100,31.68,29.92,13.35,-104.80,81.46,28.24,1723.00,,,,,,,3,1
2,approach,rail,E53233046200,2,5,5,JOINT,JOINT,75,50,43.81,46.30,17.95,-102.48,94.41,31.01,1723.00,,,,,,,3,1
